,City,Latitude,Longitude,Maximum Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
0,Daru,-9.0763,143.2092,76.64,91,88,8.25,PG,1618855570
1,Punta Arenas,-53.15,-70.9167,51.8,71,20,2.3,CL,1618855220
2,Millinocket,45.6573,-68.7098,59.0,36,75,8.05,US,1618855070
3,Pizarro,4.9533,-77.366,83.07,73,83,8.97,CO,1618855570
4,Hermanus,-34.4187,19.2345,63.0,79,100,14.0,ZA,1618855571
5,Airai,-8.9266,125.4092,57.54,87,92,1.68,TL,1618855564
6,Cape Town,-33.9258,18.4232,64.99,63,20,9.22,ZA,1618855571
7,Drumheller,51.4617,-112.7101,41.0,52,83,11.5,CA,1618855530
8,Hobart,-42.8794,147.3294,60.8,51,90,12.66,AU,1618854950
9,Albany,42.6001,-73.9662,59.0,48,70,1.99,US,1618854911
10,Cabedelo,-6.9811,-34.8339,84.2,70,75,9.22,BR,1618855572
11,Mataura,-46.1927,168.8643,51.01,81,13,7.0,NZ,1618855404
12,Zhigansk,66.7697,123.3711,-1.59,100,59,8.41,RU,1618855573
13,Soke,13.598,-5.9386,102.99,9,39,7.65,ML,1618855573
14,Saint-Pierre,-21.3393,55.4781,75.2,94,90,8.16,RE,1618855326
15,Saint George,37.1041,-113.5841,71.01,14,1,5.01,US,1618855209
16,Hilo,19.7297,-155.09,77.0,65,75,4.61,US,1618855574
17,Vaini,-21.2,-175.2,73.4,94,40,4.61,TO,1618855200
18,Khovd,48.0056,91.6419,47.37,38,95,6.17,MN,1618855575
19,Rikitea,-23.1203,-134.9692,77.81,72,0,9.42,PF,1618855209
20,New Norfolk,-42.7826,147.0587,57.99,70,98,3.0,AU,1618855294
21,Poya,-21.35,165.15,74.75,91,84,2.59,NC,1618855575
22,Palkino,57.5409,28.0126,55.4,35,0,4.47,RU,1618855575
23,Flinders,-34.5833,150.8552,51.01,80,14,1.01,AU,1618855576
24,Cururupu,-1.8283,-44.8683,73.6,97,100,4.07,BR,1618855576
25,Dingle,10.9995,122.6711,76.75,83,100,3.49,PH,1618855321
26,Yellowknife,62.456,-114.3525,30.0,74,20,4.61,CA,1618855213
27,Auburn,47.3073,-122.2284,66.0,51,20,1.59,US,1618855514
28,Ndélé,8.4109,20.6473,87.6,32,100,3.98,CF,1618855577
29,Wajima,37.4,136.9,53.87,74,2,23.24,JP,1618855577
30,Port Hardy,50.6996,-127.4199,51.8,76,40,2.3,CA,1618855397
31,Atuona,-9.8,-139.0333,79.38,80,34,18.37,PF,1618855227
32,Adrar,20.5022,-10.0711,93.76,5,0,2.89,MR,1618855577
33,Kaitangata,-46.2817,169.8464,46.99,78,26,4.0,NZ,1618855323
34,Hofn,64.2539,-15.2082,41.0,65,40,14.97,IS,1618855211
35,Jamestown,42.097,-79.2353,60.01,43,75,8.05,US,1618854912
36,Marzuq,14.4,46.4667,74.89,52,100,5.17,YE,1618855578
37,Camaná,-16.6228,-72.7111,72.72,73,16,8.84,PE,1618855578
38,Tumut,-35.3,148.2167,46.4,87,75,6.91,AU,1618855579
39,Ushuaia,-54.8,-68.3,44.6,93,75,16.11,AR,1618855006
40,Port Alfred,-33.5906,26.891,64.17,74,100,9.17,ZA,1618855222
41,Kapaa,22.0752,-159.319,73.4,78,20,4.61,US,1618855480
42,Berdigestyakh,62.0989,126.6992,2.75,98,99,4.0,RU,1618855579
43,Hauterive,46.0901,3.4459,57.2,41,0,8.05,FR,1618855579
44,Nikolskoye,59.7035,30.7861,48.2,29,0,8.95,RU,1618855267
45,Makakilo City,21.3469,-158.0858,75.99,78,90,5.75,US,1618855296
46,Carnarvon,-24.8667,113.6333,73.83,59,0,23.98,AU,1618855208
47,Olafsvik,64.8945,-23.7142,36.27,56,91,17.07,IS,1618855580
48,Port Elizabeth,-33.918,25.5701,59.0,88,75,2.3,ZA,1618855262
49,Busselton,-33.65,115.3333,55.99,98,92,8.16,AU,1618855202
50,Karpathos,35.507,27.2132,62.6,67,20,26.46,GR,1618855581
51,Lompoc,34.6391,-120.4579,63.0,87,2,11.5,US,1618855359
52,Vardø,70.3705,31.1107,44.6,42,0,17.27,NO,1618855264
53,Tura,25.5198,90.2201,72.27,65,0,8.03,IN,1618855581
54,Bredasdorp,-34.5322,20.0403,60.8,77,100,16.11,ZA,1618855263
55,Fatehpur,25.9333,80.8,87.46,12,1,4.61,IN,1618855581
56,Channel-Port aux Basques,47.5702,-59.1367,37.18,95,100,13.8,CA,1618855582
57,Kahului,20.8947,-156.47,73.0,94,1,6.91,US,1618855328
58,Necochea,-38.5473,-58.7368,79.0,59,14,21.0,AR,1618855582
59,Hithadhoo,-0.6,73.0833,83.44,63,77,3.96,MV,1618855583
60,Bonthe,7.5264,-12.505,84.25,71,100,10.85,SL,1618855583
61,Rørvik,64.8621,11.2373,53.6,58,0,4.61,NO,1618855335
62,Campos Altos,-19.6961,-46.1714,74.7,52,19,8.03,BR,1618855583
63,Tabatinga,-4.2525,-69.9381,82.4,78,40,5.75,BR,1618855583
64,Cidreira,-30.1811,-50.2056,73.08,62,57,11.32,BR,1618855272
65,Avarua,-21.2078,-159.775,77.0,78,20,10.36,CK,1618855230
66,Preobrazheniye,42.9019,133.9064,46.54,60,0,11.97,RU,1618855584
67,Ribeira Grande,38.5167,-28.7,64.4,88,40,12.66,PT,1618855329
